,Country name,Code,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Security index,Unemployment rate
0,Afghanistan,AFG,2202.57,2.66,7.47,0.49,52.8,0.43,-0.11,0.95,5.25,3870.85,687.47,,18.8,,,,15.66,,,16.0,10.0,11.18
1,Albania,ALB,13093.65,4.64,9.38,0.64,68.4,0.75,-0.03,0.88,5.86,3179.8500000000004,642.91,,32.9,,,,12.39,,4643.0,2050.0,4.7,13.75
2,Argentina,ARG,65806.44,6.04,9.85,0.91,68.6,0.83,-0.18,0.84,11.35,3666.08,1089.71,3.99,31.7,418.0,40.6,25.7,13.26,,6711.0,5835.0,4.3,8.35
3,Armenia,ARM,23562.92,4.29,9.08,0.7,66.6,0.61,-0.13,0.86,9.97,4525.35,736.38,4.4,35.1,,33.6,25.7,10.4,99.74,1495.0,1140.0,5.5,17.7
4,Australia,AUS,12115.06,7.26,10.71,0.95,73.3,0.91,0.31,0.41,12.76,3291.17,455.44,3.68,38.7,453.0,,,,,8815.0,43975.0,2.1,5.59
5,Austria,AUT,48905.42,7.29,10.73,0.91,72.7,0.89,0.14,0.52,16.17,3709.29,2282.46,5.17,44.0,441.0,,,,,29460.0,22424.0,1.0,5.5
6,Azerbaijan,AZE,54637.0,5.15,9.68,0.79,65.2,0.73,-0.24,0.65,4.22,3436.33,1070.28,,31.3,,,,6.95,99.79,2454.0,3214.0,6.2,5.0
7,Bahrain,BHR,14121.41,6.23,10.68,0.88,68.5,0.91,0.13,,4.96,4959.679999999999,1022.44,,32.3,,,,7.18,97.4,11374.0,4380.0,6.9,0.7
8,Bangladesh,BGD,50771.63,4.31,8.2,0.71,63.8,0.9,0.02,0.64,5.95,3219.9700000000003,314.86,0.54,26.7,,,,18.39,72.89,1026.0,348.0,7.6,4.37
9,Belarus,BLR,3044.51,5.55,9.75,0.9,65.8,0.62,-0.13,0.65,24.83,3088.5299999999997,619.74,,40.0,,25.4,5.9,12.28,,11060.0,1124.0,6.1,5.65
10,Belgium,BEL,1791.34,6.93,10.66,0.92,71.8,0.86,0.06,0.54,18.83,3702.73,1165.8,3.07,41.4,450.0,,,,,8385.0,9636.0,2.4,7.09
11,Benin,BEN,4161.09,4.85,7.63,0.44,53.9,0.73,-0.04,0.77,5.99,5171.530000000001,523.21,,18.2,,,,19.88,,281.0,160.0,6.2,2.46
12,Bolivia,BOL,21181.77,5.65,8.82,0.78,63.3,0.88,-0.11,0.82,5.79,4635.47,560.01,,24.3,,44.0,36.4,,,1109.0,912.0,6.5,3.67
13,Bosnia and Herzegovina,BIH,47654.61,5.09,9.42,0.78,67.5,0.56,0.09,0.92,9.17,3394.43,858.44,,42.1,,,,,,923.0,985.0,5.7,20.53
14,Botswana,BWA,13842.71,3.5,9.69,0.77,58.2,0.82,-0.25,0.73,8.77,4906.4,1077.76,,24.5,,,,,,1623.0,542.0,4.1,17.5
15,Brazil,BRA,18280.2,6.33,9.56,0.9,66.2,0.76,-0.18,0.79,6.68,2975.48,664.17,2.17,32.0,416.0,53.3,,,93.08,6589.0,6175.0,6.7,12.82
16,Bulgaria,BGR,8423.7,5.1,9.83,0.94,66.6,0.69,-0.15,0.91,14.11,5506.84,1150.66,,42.7,434.0,,22.0,,,8883.0,4678.0,4.3,6.16
17,Burkina Faso,BFA,14519.85,4.65,7.44,0.78,53.4,0.61,-0.05,0.73,7.14,3525.55,2248.75,0.08,17.3,,,,21.44,,143.0,172.0,8.4,6.22
18,Cambodia,KHM,17253.23,4.59,8.2,0.77,61.2,0.96,0.09,0.82,4.1,3689.59,1397.34,,25.3,,,,,,5602.0,4024.0,6.7,0.68
19,Cameroon,CMR,48552.54,5.07,8.11,0.69,51.9,0.77,-0.03,0.84,7.82,3642.01,496.19,,18.5,,,,15.91,,1081.0,543.0,7.9,3.41
20,Canada,CAN,23723.81,7.41,10.69,0.93,73.4,0.95,0.16,0.36,12.83,3436.98,1344.46,2.61,42.2,443.0,,,,,20883.0,20400.0,2.2,6.34
21,Chad,TCD,14149.92,4.56,7.47,0.66,47.7,0.61,-0.0,0.79,5.2,3983.1200000000003,895.83,0.04,17.8,,,,16.36,,87.0,,9.4,1.85
