Country name,Code,Continent
Afghanistan,AFG,Asia
Albania,ALB,Europe
Argentina,ARG,Americas
Armenia,ARM,Asia
Australia,AUS,Oceania
Austria,AUT,Europe
Azerbaijan,AZE,Asia
Bahrain,BHR,Asia
Bangladesh,BGD,Asia
Belarus,BLR,Europe
Belgium,BEL,Europe
Benin,BEN,Africa
Bolivia,BOL,Americas
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Brazil,BRA,Americas
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Cambodia,KHM,Asia
Cameroon,CMR,Africa
Canada,CAN,Americas
Chad,TCD,Africa
Chile,CHL,Americas
China,CHN,Asia
Colombia,COL,Americas
Congo (Brazzaville),COG,Africa
Costa Rica,CRI,Americas
Croatia,HRV,Europe
Cyprus,CYP,Asia
Czech Republic,CZE,Europe
Denmark,DNK,Europe
Dominican Republic,DOM,Americas
Ecuador,ECU,Americas
Egypt,EGY,Africa
El Salvador,SLV,Americas
Estonia,EST,Europe
Finland,FIN,Europe
France,FRA,Europe
Gabon,GAB,Africa
Georgia,GEO,Asia
Germany,DEU,Europe
Ghana,GHA,Africa
Greece,GRC,Europe
Guatemala,GTM,Americas
Guinea,GIN,Africa
Haiti,HTI,Americas
Honduras,HND,Americas
Hong Kong S.A.R. of China,HKG,Asia
Hungary,HUN,Europe
India,IND,Asia
Indonesia,IDN,Asia
Iran,IRN,Asia
Iraq,IRQ,Asia
Ireland,IRL,Europe
Israel,ISR,Asia
Italy,ITA,Europe
Japan,JPN,Asia
Jordan,JOR,Asia
Kazakhstan,KAZ,Asia
Kenya,KEN,Europe
Kosovo,KXK,Africa
Kuwait,KWT,Asia
Kyrgyzstan,KGZ,Asia
Latvia,LVA,Europe
Lebanon,LBN,Asia
Liberia,LBR,Africa
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Macedonia,MKD,Europe
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Asia
Mali,MLI,Africa
Malta,MLT,Europe
Mauritania,MRT,Africa
Mexico,MEX,Americas
Moldova,MDA,Europe
Mongolia,MNG,Asia
Montenegro,MNE,Europe
Morocco,MAR,Africa
Nepal,NPL,Asia
Netherlands,NLD,Europe
New Zealand,NZL,Oceania
Nicaragua,NIC,Americas
Niger,NER,Africa
Nigeria,NGA,Africa
Pakistan,PAK,Asia
Palestinian Territories,PS,Asia
Panama,PAN,Americas
Paraguay,PRY,Americas
Peru,PER,Americas
Philippines,PHL,Asia
Poland,POL,Europe
Portugal,PRT,Europe
Romania,ROU,Europe
Russia,RUS,Asia
Rwanda,RWA,Africa
Saudi Arabia,SAU,Asia
Senegal,SEN,Africa
Serbia,SRB,Europe
Sierra Leone,SLE,Africa
Singapore,SGP,Asia
Slovakia,SVK,Europe
Slovenia,SVN,Europe
South Africa,ZAF,Africa
South Korea,KOR,Asia
Spain,ESP,Europe
Sri Lanka,LKA,Asia
Sweden,SWE,Europe
Taiwan,TWN,Asia
Tajikistan,TJK,Asia
Tanzania,TZA,Africa
Thailand,THA,Asia
Tunisia,TUN,Africa
Turkey,TUR,Europe
Turkmenistan,TKM,Asia
Uganda,UGA,Africa
Ukraine,UKR,Europe
United Arab Emirates,ARE,Asia
United Kingdom,GBR,Europe
United States,USA,Americas
Uruguay,URY,Americas
Uzbekistan,UZB,Asia
Venezuela,VEN,Americas
Vietnam,VNM,Asia
Yemen,YEM,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
